node_id,name,entity_type,raw_name,alias_count
node_b6f08c139c18,传感器平台,模块,传感器平台,1
node_779b443e8659,位置隐私保护,技术,位置隐私保护,1
node_18f3abcde527,信号处理模块,模块,信号处理模块,1
node_524bc595594c,储能BMS系统,设备,储能BMS系统,1
node_63b4144fc15a,储能系统,类别,储能系统,1
node_8d85d104c303,光流,技术,光流,1
node_57cfe2e7c997,全卷积网络,技术,全卷积网络,2
node_171499dc2012,决策级融合,技术,决策级融合,1
node_0c5827393484,决策过程,类别,决策过程,1
node_6995a49447d1,分布式融合,技术,分布式融合,1
node_42a901e9c6f5,判别模型方法,类别,判别模型方法,1
node_0c0e93bf216c,加密方法,类别,加密方法,1
node_f4fcf01128a9,动作集合,模块,动作集合,1
node_7d1352693726,北斗,设备,北斗,1
node_9f0090fb3e63,匿名认证,技术,匿名认证,1
node_e5a225565807,卡尔曼滤波,技术,卡尔曼滤波,1
node_abae55b1bbb5,即时互联网接入,功能,即时互联网接入,1
node_255a658244f3,卷积,模块,卷积,1
node_6f86771ef347,卷积神经网络,技术,卷积神经网络,2
node_0f6a5ecbb649,双目校正,技术,双目校正,1
node_71d80e544e61,双目立体视觉,技术,双目立体视觉,1
node_59c8a575d428,反卷积层,模块,反卷积层,1
node_4f74309203aa,受限玻尔兹曼机,技术,受限玻尔兹曼机,2
node_b99505a71127,回报函数,模块,回报函数,1
node_4b580c2a7d2f,图像对齐算法,类别,图像对齐算法,1
node_1d6d610d4161,图像校正,类别,图像校正,1
node_5d3666f3b3c7,图像识别,功能,图像识别,1
node_160ac0cdca31,图像语义分割,功能,图像语义分割,1
node_8e3e793ff2b3,图片内容描述,功能,图片内容描述,1
node_e4082e608d36,图片标题生成技术,技术,图片标题生成技术,1
node_818cadb0bbda,地图建模,功能,地图建模,1
node_c6475e9bc9bd,基于价值的方法,类别,基于价值的方法,1
node_45951d5ea432,基于区块链的认证,技术,基于区块链的认证,1
node_69725ff16a22,基于模型的强化学习,技术,基于模型的强化学习,1
node_dd18adc5d279,基于策略的方法,类别,基于策略的方法,1
node_32bf77ef383c,多传感器融合方式,类别,多传感器融合方式,1
node_44005ff12c84,多尺度目标检测器,类别,多尺度目标检测器,1
node_b787db481e81,多智能体强化学习,技术,多智能体强化学习,2
node_a14479ba902c,安时积分法,技术,安时积分法,1
node_84476c817484,定位,功能,定位,1
node_b88286920db7,定位模块,模块,定位模块,1
node_822b536d923c,定位系统,类别,定位系统,1
node_0094fecf7b61,开路电压法,技术,开路电压法,1
node_e7cabc5e8830,强化学习,类别,强化学习,1
node_e6c35588257b,彩色摄像头,设备,彩色摄像头,1
node_f147dfc61f3d,循环神经网络,技术,循环神经网络,2
node_2ed02dbbdce9,手写体识别,功能,手写体识别,1
node_0f34924e6ef2,手写字符图像的识别,功能,手写字符图像的识别,1
node_6ffe8f0be56e,接收器,模块,接收器,1
node_42ed26c84053,控制平台,模块,控制平台,1
node_6f67e210807b,摄像头,设备,摄像头,2
node_e936faeab778,摄像头模块,模块,摄像头模块,1
node_ffb53ba74229,数字系统设计自动化关键技术,类别,数字系统设计自动化关键技术,1
node_e8102f1c1d97,数据存储部分,模块,数据存储部分,1
node_a8517a418c89,数据级融合,技术,数据级融合,1
node_43c163d36956,数据隐私保护技术,技术,数据隐私保护技术,1
node_00bcf8859376,数据驱动的预测方法,类别,数据驱动的预测方法,1
node_8c0e8055996f,文件加密,功能,文件加密,1
node_47827f3607a9,文件解密,功能,文件解密,1
node_96e03e889b27,斯麦斯网络,技术,斯麦斯网络,1
node_3034320fb8b2,无模型的强化学习,技术,无模型的强化学习,1
node_4b621f7b93f0,时间序列建模,功能,时间序列建模,1
node_d897208b16d6,最大值池化,模块,最大值池化,1
node_b61c84826c06,树莓派处理器,模块,树莓派处理器,1
node_cd5a9a581378,树莓派小车,设备,树莓派小车,1
node_42ecaa37b1f4,检测层,模块,检测层,1
node_adc0c5eaeea8,模拟系统,模块,模拟系统,1
node_877b2d9fb802,毫米波雷达,设备,毫米波雷达,3
node_56f1acd14891,汽车DR,技术,汽车DR,1
node_e1fa6f76ab77,泊车辅助,场景,泊车辅助,1
node_3a04a441022a,测距,功能,测距,1
node_c9c7731e36a4,测距器,类别,测距器,1
node_6af99bf19124,深度学习功能性平台,类别,深度学习功能性平台,1
node_2f258185c5e0,深度学习常用模型,类别,深度学习常用模型,1
node_d68975152e94,深度学习平台,类别,深度学习平台,1
node_87144784e8e9,深度学习抽象化平台,类别,深度学习抽象化平台,1
node_b364076daa4a,深度学习模型训练部分,模块,深度学习模型训练部分,1
node_960b7a7623fc,深度神经网络,技术,深度神经网络,2
node_6c7a3175679b,混合式融合,技术,混合式融合,1
node_f4d9819f4151,滑模观测器,技术,滑模观测器,1
node_169cb8967940,激光发射器,模块,激光发射器,1
node_84f82798d55d,激光测距仪,设备,激光测距仪,1
node_ab41bf10ba91,激光雷达,设备,激光雷达,4
node_78bbef110d3e,激光雷达模块,模块,激光雷达模块,1
node_ae2a13e2376a,激光雷达系统,设备,激光雷达系统,1
node_4706177134b0,物体识别,功能,物体识别,1
node_eb10ad2b73e2,物体追踪,功能,物体追踪,1
node_9e86915dc5d5,物体追踪数据集,类别,物体追踪数据集,1
node_1ccc047239bd,特征级融合,技术,特征级融合,1
node_1e476ef3ebd8,特征级融合方法,类别,特征级融合方法,1
node_4b507ce3369e,状态转移概率,模块,状态转移概率,1
node_eb0700f83df3,状态集合,模块,状态集合,1
node_7955b91e13af,环境感知,功能,环境感知,1
node_4a203dfe970f,生成对抗网络,技术,生成对抗网络,2
node_387447a07016,生成模型方法,类别,生成模型方法,1
node_cd40f087e321,电子控制单元,模块,电子控制单元,2
node_7577215f7c3d,电池内阻预测法,技术,电池内阻预测法,1
node_3f1a6126c752,电池管理系统,类别,电池管理系统,1
node_e98429298324,疲劳检测,功能,疲劳检测,1
node_b6e01734566c,目标检测,功能,目标检测,1
node_7322afb3bcb7,目标检索问题,类别,目标检索问题,1
node_1a82ef75bd6c,目标视觉跟踪,技术,目标视觉跟踪,1
node_830c509b6d75,盲区探测,功能,盲区探测,1
node_8908774755c7,相似性度量方法,类别,相似性度量方法,1
node_c4c2c364b388,相机标定,技术,相机标定,1
node_1f33c8a55c4c,硬件平台,模块,硬件平台,1
node_4cc38cf8a49d,神经网络,类别,神经网络,1
node_f6502e3c2a44,神经网络模型,类别,神经网络模型,1
node_2bda6509f6e5,稀疏光流,技术,稀疏光流,1
node_fe336d96cc6a,立体匹配,技术,立体匹配,1
node_36484d3eaa0c,立体视觉,类别,立体视觉,1
node_d950408aa186,立体视觉及光流数据集,类别,立体视觉及光流数据集,1
node_cddd133102fc,类别识别,功能,类别识别,1
node_6e6b9145ae12,编码机,模块,编码机,1
node_a4de10226293,网络通信安全防护技术,技术,网络通信安全防护技术,1
node_31ae5b44c9e4,群组认证,技术,群组认证,1
node_78bc703ec965,自主式车辆定位技术,类别,自主式车辆定位技术,1
node_16e2c03601af,自动编码机,技术,自动编码机,1
node_46c3451f6382,自动编解码机,技术,自动编解码机,1
node_84a852be5572,自然语言处理,功能,自然语言处理,1
node_fa90327bd472,自适应巡航,场景,自适应巡航,1
node_a880e78a26a1,行人再识别,技术,行人再识别,1
node_cf5e689bbc2d,行人检测,功能,行人检测,1
node_da9363ffca24,视觉里程测量数据集,类别,视觉里程测量数据集,1
node_86865cacd2fa,解码机,模块,解码机,1
node_ffa5de0ebe79,计算平台实现方法,类别,计算平台实现方法,1
node_20dddefb9b21,语义分割,功能,语义分割,1
node_df3dd6abf404,语音识别,功能,语音识别,1
node_10423035beef,超声波传感器,设备,超声波传感器,1
node_e1f25857b230,跨域认证,技术,跨域认证,1
node_63d3367343ef,路侧单元,设备,路侧单元,2
node_581da04caa59,路面和车道检测数据集,类别,路面和车道检测数据集,1
node_329cd4571236,身份与认证技术,技术,身份与认证技术,1
node_f725545f7494,身份隐私保护,技术,身份隐私保护,1
node_3336c0de9caa,车联网安全认证,类别,车联网安全认证,1
node_cddfa9225f1b,车联网终端安全,类别,车联网终端安全,1
node_03bcc1978229,车联网路侧安全,类别,车联网路侧安全,1
node_ccfe67a6931f,车联网通信机制,类别,车联网通信机制,1
node_ae28c168c2c8,车路协同,场景,车路协同,1
node_c391db2f2559,车路协同基础平台,技术,车路协同基础平台,1
node_c360900d1871,车载专用微机控制器,类别,车载专用微机控制器,1
node_875bf42a02b4,车载以太网,技术,车载以太网,2
node_09e78cabaa14,车载传感器,类别,车载传感器,1
node_422f0865e57e,车载入侵检测技术,技术,车载入侵检测技术,1
node_b16d40583866,车载加密技术,技术,车载加密技术,1
node_0ff7fc907501,车载单元,设备,车载单元,2
node_37744c951bf2,车载安全审计技术,技术,车载安全审计技术,1
node_4f0b463194a8,车载客户端系统,模块,车载客户端系统,1
node_56b2186946fd,车载总线安全,类别,车载总线安全,1
node_50cdd0e46f60,车载系统安全,类别,车载系统安全,1
node_f6da16092fbb,车载网络安全认证技术,技术,车载网络安全认证技术,1
node_f04a9c386c94,车载防火墙技术,技术,车载防火墙技术,1
node_4f7756c89b2d,车辆检测,功能,车辆检测,1
node_3aef547bc816,车道线检测,功能,车道线检测,1
node_dd746b88a1f1,输入层,模块,输入层,1
node_6f5b73f1569a,输出层,模块,输出层,1
node_0a5f360e1f3b,通信协议,类别,通信协议,1
node_e152d06ae689,通信平台,模块,通信平台,1
node_c9c9f90c7953,通信总线,模块,通信总线,1
node_6ed29a895517,通信模块,模块,通信模块,1
node_f10c906a0528,道路场景目标检测,功能,道路场景目标检测,1
node_43e4d59929bd,避障,功能,避障,1
node_995a677307b4,锂离子电池储能系统,设备,锂离子电池储能系统,1
node_302fc0c06692,长短期记忆网络,技术,长短期记忆网络,2
node_22b1e2ce1362,长距离无线通信技术,技术,长距离无线通信技术,1
node_7c13f60c302a,隐藏层,模块,隐藏层,1
node_12c426c56dd7,障碍物检测,功能,障碍物检测,1
node_8d78908ba4fd,集中式融合,技术,集中式融合,1
node_ecadb4819c9f,雷达传感器,类别,雷达传感器,1
node_4539a76ec515,非对称加密方法,类别,非对称加密方法,1
node_84776125aaee,非线性激活函数,模块,非线性激活函数,1
node_dd4de0f9ecd1,马尔可夫决策过程,技术,马尔可夫决策过程,2
node_abb36bed746e,驾驶员疲劳判别模型,技术,驾驶员疲劳判别模型,1
node_4197535f9f52,高层次综合技术,技术,高层次综合技术,1
node_2c1c697b60f0,高清晰度地图部分,模块,高清晰度地图部分,1
node_588d0b8e846f,黑白摄像头,设备,黑白摄像头,1
